"SL. No.","IN Request No","OUT Request No","Request By","Gate Pass No","Cost Center","Sub Cost Center",Organisation,"Request Out Time","Request In Time","Actual Out Time","Person With Vehicle","Vehicle Type","Vehicle No","Security Guard","Security Guard No","OUT Security Guard","OUT Security Guard No","Visit Purpose","Out Visit Purpose","Meet Person",Remarks,"Out Remarks","Creation Date & Time"
1,EMPINRN0020,EMPOUTRN0020,"Janmejaya Giri",GPN0020,"Umesh Manufa 01","Umesh Angul","Surya solar and it pvt ltd","27-03-2025 05:36 PM","26-03-2025 05:36 AM","30-03-2025 06:36 PM",Yes,"Three Wheeler",UH32A2897,"Rachel Carver",4545454545,"Thaddeus Mcmillan",5565656565,test,"for out visitor","Et quo assumenda con",test,"out remark test","26-03-2025 05:37 PM"
2,EMPINRN0019,EMPOUTRN0019,"Janmejaya Giri",GPN0019,BHEL,"U.P-Power Plant","WATTPLUS INFRA PVT LTD","27-03-2025 11:11 AM","26-03-2025 11:11 AM","30-03-2025 01:19 PM",Yes,"Two Wheeler",OD02A14756,"Orli Swanson",7897897897,"Carissa Castro",7897897898,"factory visit","out for factory",,"checked and updated","out request raised update","26-03-2025 11:12 AM"
3,INRN0018,,"Janmejaya Giri",GPN0018,"BHUBANESWAR FACTORY","CORPORATE WORK","Surya International Enterprise Private Limited","26-03-2025 03:03 PM","26-03-2025 03:03 PM",,Yes,,2222222222,POIUYTREWQ,2222222222,,,1111111111,,1111111111,1111111111,,"19-03-2025 04:58 PM"
4,INRN0017,OUTRN0017,"Kamlesh K Singh",GPN0017,"BHUBANESWAR FACTORY","CORPORATE WORK","Suryam International Private Limited","26-03-2025 10:29 PM","26-03-2025 09:27 PM","26-03-2025 07:34 PM",No,,,"JAN GIRI",2121,fvsd,9639639633,qdde,,dwwdd,wddwdew,,"19-03-2025 04:28 PM"
5,INRN0016,OUTRN0016,"Kamlesh K Singh",GPN0016,"BHUBANESWAR FACTORY","CORPORATE WORK","Suryam International Private Limited","26-03-2025 10:29 PM","26-03-2025 09:27 PM","26-03-2025 12:12 AM",No,,,"JAN GIRI",2121,frrqvdfwq,7391417614,qdde,"jannmejaya giri",,wddwdew,"janmejaya giri","19-03-2025 04:28 PM"
6,INRN0015,OUTRN0015,"Kamlesh K Singh",GPN0015,"BHUBANESWAR FACTORY","CORPORATE WORK","Suryam International Private Limited","26-03-2025 10:29 PM","26-03-2025 09:27 PM","26-03-2025 12:12 AM",No,,,"JAN GIRI",2121,1212121,9777850950,qdde,sds,,wddwdew,vdds,"19-03-2025 04:28 PM"
7,INRN0014,OUTRN0014,"Kamlesh K Singh",GPN0014,"BHUBANESWAR FACTORY","CORPORATE WORK","Suryam International Private Limited","26-03-2025 10:29 PM","26-03-2025 09:27 PM","26-03-2025 12:01 AM",No,,,"JAN GIRI",2121,1121211211,9639639639,qdde,,dwwdd,wddwdew,,"19-03-2025 04:28 PM"
8,INRN0013,,"Kamlesh K Singh",GPN0013,"BHUBANESWAR FACTORY","CORPORATE WORK","Suryam International Private Limited","26-03-2025 10:29 PM","26-03-2025 09:27 PM",,No,,,"JAN GIRI",2121,,,qdde,,dwwdd,wddwdew,,"19-03-2025 04:28 PM"
9,INRN0012,OUTRN0012,"Manas Ranjan Jena",GPN0012,"BHUBANESWAR FACTORY","Production Work",Others,"26-03-2025 06:38 PM","26-03-2025 12:12 PM","26-03-2025 12:12 PM",Yes,,OD-01-1542LDS,edsddeessdd,1212121212,121212,1212121212,,,CDS,GFDSD,fdccsd,"19-03-2025 03:36 PM"
10,INRN0011,,"Manas Ranjan Jena",GPN0011,"BHUBANESWAR FACTORY","Production Work","Surya International Enterprise Private Limited","26-03-2025 03:27 PM","26-03-2025 03:26 PM",,Yes,,OD-01-1542LDS,"JAN GIRI",1212211212,,,,,FVEDS,FVSDFSD,,"19-03-2025 03:33 PM"
11,INRN0010,OUTRN0010,"Manas Ranjan Jena",GPN0010,"BHUBANESWAR FACTORY","Production Work","Surya International Enterprise Private Limited","26-03-2025 03:27 PM","26-03-2025 03:26 PM","26-03-2025 11:11 PM",Yes,,OD-01-1542LDS,"JAN GIRI",1212211212,gfvdsz,1212121212,DVFSCD,,FVEDS,FVSDFSD,dfvf,"19-03-2025 03:33 PM"
12,INRN0009,,"Manas Ranjan Jena",GPN0009,"BHUBANESWAR FACTORY","Production Work","Surya International Enterprise Private Limited","26-03-2025 03:27 PM","26-03-2025 03:26 PM",,Yes,,OD-01-1542LDS,"JAN GIRI",1212211212,,,DVFSCD,,FVEDS,FVSDFSD,,"19-03-2025 03:33 PM"
13,INRN0008,,"Manas Ranjan Jena",GPN0008,"BHUBANESWAR FACTORY","Production Work","Surya International Enterprise Private Limited","26-03-2025 03:27 PM","26-03-2025 03:26 PM",,No,,,"JAN GIRI",1212211212,,,DVFSCD,,FVEDS,FVSDFSD,,"19-03-2025 03:29 PM"
14,INRN0007,,"Manas Ranjan Jena",GPN0007,"BHUBANESWAR FACTORY","Production Work","Surya International Enterprise Private Limited","26-03-2025 03:27 PM","26-03-2025 03:26 PM",,No,,,"JAN GIRI",1212211212,,,DVFSCD,,FVEDS,FVSDFSD,,"19-03-2025 03:29 PM"
15,INRN0006,,"Manas Ranjan Jena",GPN0006,"BHUBANESWAR FACTORY","CORPORATE WORK","Surya International Enterprise Private Limited","26-03-2025 03:18 PM","26-03-2025 03:14 PM",,Yes,,OD-01-1542LDS,"JAN GIRI",1221121122,,,dfsa,,wfedwdeedda,sdscsssvswwdsdsds,,"19-03-2025 03:20 PM"
16,INRN0005,,"Janmejaya Giri",GPN0005,"Agriculture Dept. Odisha","CEL Street Light","final orgdevtest2","26-03-2025 11:34 PM","26-03-2025 04:58 PM",,No,,,"Yvette Johnson",3323332222,,,"Optio minim laborio",,"Est amet est simi","Dolore tempora volup",,"19-03-2025 11:34 AM"
17,INRN0004,,"Janmejaya Giri",GPN0004,ADANI,"CEL Street Light","Suryam International Private Limited","26-03-2025 08:50 PM","26-03-2025 07:25 PM",,No,,,"Stone Keller","+1 (323) 759-4974",,,"Mollit recusandae U",,"Ex qui qui ad ducimu","Non ex omnis praesen",,"18-03-2025 10:21 PM"
18,INRN0003,OUTRN0003,"Janmejaya Giri",GPN0003,"Agriculture Dept. Odisha","CEL Street Light","Suryam International Private Limited","26-03-2025 05:19 PM","26-03-2025 05:12 AM","26-03-2025 04:19 PM",No,,,"Urielle Barr","+1 (801) 616-8223","Thaddeus Mcmillan",7897897898,"Voluptates ut volupt","wde eevr rdw","Voluptate tempor lor","Duis excepturi eius","dcdc ewfwex eded","18-03-2025 09:40 PM"
19,INRN0002,,"Kamlesh K Singh",GPN0002,BHEL,"Banglore Office","Suryam International Private Limited","26-03-2025 04:55 PM","26-03-2025 04:55 AM",,Yes,,"Ursula Barton","Orli Swanson",7788998877,,,"test in purpose",,"test in meet prsn","test in remark1",,"17-03-2025 10:26 PM"
20,INRN0001,OUTRN0001,"Janmejaya Giri",GPN0001,"Agriculture Dept. Odisha","CEL Street Light","Suryam International Private Limited","26-03-2025 11:12 PM","26-03-2025 11:12 AM","26-03-2025 01:13 PM",Yes,,,"Orli Swanson",7897897897,"Thaddeus Mcmillan",934349097,"for test","out checck",,checking,"test out","14-03-2025 04:43 PM"
